iso;country;200-224;225-249;250-274;275-299;300-324;325-349;350+
DZ;Algeria;163.97325299999994;0;0;0;0;0;0
AT;Austria;301.50312699999967;36.43860399999999;318.15915399999994;0;0;0;0
BE;Belgium;90.29027199999997;4.601750999999999;44.02652499999999;0;294.4699470000001;0;0
CA;Canada;0;0;0;0;0;0;0
CN;China;23496.87366600012;66.009469;25252.576754;73.22288399999998;12690.422938000062;46.993567999999996;25865.472209999993
CZ;Czech Republic;63.48133599999998;0;0;0;0;0;0
DK;Denmark;139.83690499999994;0;0;0;0;0;0
FI;Finland;757.2092620000012;0;0;0;0;0;0
FR;France;2432.973765000004;111.157368;411.2532380000002;0;4284.530356000002;0;1.893513
DE;Germany;2246.6566210000015;509.1720809999997;1118.0679890000006;289.2021920000001;718.6891299999999;0;0
GR;Greece;310.5763539999999;0;0.056812;0;0;0;0
ID;Indonesia;89.03032400000004;0;28.357572999999995;0;0.090002;0;160.243464
IE;Ireland;0;0;0;0;0;0;0
IT;Italy;721.8167999999997;54.81762499999998;625.8945790000002;0;1073.8391930000007;0;0
JP;Japan;22.933776999999992;25.178032;2269.6003859999973;1594.3065310000052;1583.9723080000022;0;61.408522000000005
KZ;Kazakhstan;0;562.3928670000001;0;0;0;0;0
KR;"""Korea";559.671695000001;244.87156299999995;882.6190069999991;0;1112.3182630000001;0;0.5276179999999999
MA;Morocco;0;0;0;0;363.3070739999999;0;0
NL;Netherlands;74.77505;0.90311;19.027525;10.232963;127.87170499999998;0;0
NO;Norway;277.799498;0;0;0;0;0;0
PL;Poland;253.42904099999987;0;0;0;0;0;0
PT;Portugal;443.15924000000035;0;66.63677700000001;0;0;0;0
RO;Romania;13.705585;0;0;0;0;0;0
RU;Russian Federation;1193.0368519999997;48.00621800000001;96.225739;0;0;0;0
SA;Saudi Arabia;1203.463267;0;0;0;904.2470949999994;0;0
RS;Serbia;267.960546;0;0;0;0;0;0
ES;Spain;1914.0176840000001;256.83123399999994;839.1248760000013;137.20601100000007;3708.3699590000033;0;0.084004
SE;Sweden;2667.996980999998;5.002251;259.1002680000001;0;0;0;0
CH;Switzerland;101.97157599999996;151.45693000000003;48.339203999999995;0;0;0;0
TW;"""Taiwan";9.715383000000001;0;0;0;653.3626430000003;0;0
TR;Turkey;288.71481599999987;0;1891.0135169999987;0;0;0;0
AE;United Arab Emirates;7.800592;0;0;0;0;0;0
GB;United Kingdom;1310.1662559999997;77.804132;18.659468;0;110.42934199999998;0;0
US;United States;528.1399969999999;23.276010999999993;147.69462899999994;0;0;0;0
UZ;Uzbekistan;0;0;599.8427399999997;0;0;0;0
