iso;country;200-224;225-249;250-274;275-299;300-324;325-349;350+
DZ;Algeria;163.87927699999995;0;0;0;0;0;0
AT;Austria;301.5031309999997;36.43860399999999;318.1591339999999;0;0;0;0
BE;Belgium;90.29027199999997;4.601750999999999;44.026531;0;294.4699460000001;0;0
CN;China;26713.77137500015;62.26685699999999;27584.502344999873;73.22288399999998;12751.935569000054;46.993567999999996;28880.381024999973
CZ;Czechia;13.277885000000001;0;0;0;0;0;0.140784
DK;Denmark;212.56246099999987;0;0;0;0;0;0
FI;Finland;757.2092980000012;0;0;0;0;0;0
FR;France;2412.969041000004;109.36356100000002;473.6591260000004;0;4255.393169000004;0;0.179963
DE;Germany;2208.838399000003;189.97727799999996;1129.8049330000008;289.24318;718.6892219999999;0;0
GR;Greece;310.56415900000025;0;0.056812;0;0;0;0
ID;Indonesia;89.01174100000003;0;28.353035;0;0.090002;0;160.24876800000004
IT;Italy;786.5511609999991;40.84716199999999;646.816123;0;1074.7945329999995;0;0
JP;Japan;22.933776999999992;25.178032;2269.6009239999958;1594.5271060000055;1583.9688660000018;0;61.408522000000005
KZ;Kazakhstan;0;562.702794;0;0;0;0;0
KR;Korea (the Republic of);695.7976490000012;241.74904499999997;758.4436679999997;0;1085.1416850000003;0;0.586947
MA;Morocco;0;0;0;0;363.3070739999999;0;0
NL;Netherlands (Kingdom of the);74.77505;0.90311;9.555622000000003;10.005825;116.56976200000001;0;0
NO;Norway;277.79949100000005;0;0;0;0;0;0
PL;Poland;251.0778599999999;0;0;0;0;0;0
PT;Portugal;443.1498100000002;0;66.63665000000002;0;0;0;0
RO;Romania;13.705585;0;0;0;0;0;0
RU;Russian Federation (the);1192.9816540000006;48.00621800000001;96.225739;0;0;0;0
SA;Saudi Arabia;1203.463267;0;0;0;904.2470949999994;0;0
RS;Serbia;267.957806;0;0;0;0;0;0
ES;Spain;1928.2834310000005;256.8309329999999;839.1230470000013;137.20601100000007;3711.6861660000045;0;0.084004
SE;Sweden;2694.190727999998;28.036333999999997;233.30555300000012;0;0;0;0
CH;Switzerland;100.144447;13.570438999999999;186.22579599999997;0;0;0;0
TW;Taiwan (Province of China);9.715383000000001;0;0;0;653.5118080000003;0;0
TR;TÃ¼rkiye;539.7115829999996;0;1576.7325790000025;0;318.36723800000004;0;0
AE;United Arab Emirates (the);582.5123629999995;0;0;0;0;0;0
GB;United Kingdom of Great Britain and Northern Ireland (the);1315.0968850000006;77.80420499999998;18.659468;0;110.42934399999997;0;0
US;United States of America (the);528.1412400000002;41.470452000000016;129.49915199999995;0;0;0;0
UZ;Uzbekistan;0;0;517.3804660000001;0;0;0;0
